City,Country,Continent,Summer (Olympiad),Winter,Year,Opening Ceremony,Closing Ceremony,Season,Lat,Long
Athens,Greece,Europe,I,-,1896,6-Apr,15-Apr,Summer,37.9838096,23.7275388
Paris,France,Europe,II,-,1900,14-May,28-Oct,Summer,48.856614,2.3522219
St. Louis,United States,North America,III,-,1904,1-Jul,23-Nov,Summer,38.6270025,-90.1994042
London,United Kingdom,Europe,IV,-,1908,27-Apr,31-Oct,Summer,51.5073509,-0.1277583
Stockholm,Sweden,Europe,V,-,1912,5-May,22-Jul,Summer,59.3293235,18.0685808
Berlin,Germany,Europe,VI,-,1916,Cancelled due to World War I,,Null,52.5200066,13.404954
Antwerp,Belgium,Europe,VII,-,1920,20-Apr,12-Sep,Summer,51.2194475,4.4024643
Chamonix,France,Europe,-,I,1924,25-Jan,4-Feb,Winter,45.923697,6.869433
Paris,France,Europe,VIII,-,1924,4-May,27-Jul,Summer,48.856614,2.3522219
St. Moritz,Switzerland,Europe,-,II,1928,11-Feb,19-Feb,Winter,46.4907973,9.8355079
Amsterdam,Netherlands,Europe,IX,-,1928,17-May,12-Aug,Summer,52.3679843,4.9035614
Lake Placid,United States,North America,-,III,1932,4-Feb,15-Feb,Winter,44.2794911,-73.9798713
Los Angeles,United States,North America,X,-,1932,30-Jul,14-Aug,Summer,34.0522342,-118.2436849
Garmisch-Partenkirchen,Nazi Germany,Europe,-,IV,1936,6-Feb,16-Feb,Winter,47.4916945,11.0954984
Berlin,Nazi Germany,Europe,XI,-,1936,1-Aug,16-Aug,Summer,52.5200066,13.404954
Sapporo,Empire of Japan,Asia,-,V,1940,Cancelled due to World War II,Cancelled due to World War II,Null,43.0620958,141.3543763
"
 Garmisch-Partenkirchen","
  Germany","
 Europe",-,V,1940,Cancelled due to World War II,Cancelled due to World War II,Null,47.4916945,11.0954984
Tokyo,Japan,Asia,XII,-,1940,Cancelled due to World War II,Cancelled due to World War II,Null,35.6894875,139.6917064
Helsinki,"
  Finland","
 Europe",XII,-,1940,Cancelled due to World War II,Cancelled due to World War II,Null,60.1698557,24.9383791
Cortina d'Ampezzo,Italy,Europe,-,V,1944,Cancelled due to World War II,Cancelled due to World War II,Null,46.5404711,12.1356524
London,United Kingdom,Europe,XIII,-,1944,Cancelled due to World War II,Cancelled due to World War II,Null,51.5073509,-0.1277583
St. Moritz,Switzerland,Europe,-,V,1948,30-Jan,8-Feb,Winter,46.4907973,9.8355079
London,United Kingdom,Europe,XIV,-,1948,29-Jul,14-Aug,Summer,51.5073509,-0.1277583
Oslo,Norway,Europe,-,VI,1952,14-Feb,25-Feb,Winter,59.9138688,10.7522454
Helsinki,Finland,Europe,XV,-,1952,19-Jul,3-Aug,Summer,60.1698557,24.9383791
Cortina d'Ampezzo,Italy,Europe,-,VII,1956,26-Jan,5-Feb,Winter,46.5404711,12.1356524
Melbourne,"Australia
","Oceania
",XVI,-,1956,"
 June 10","
 June 17",Summer,-37.8136276,144.9630576
Squaw Valley,United States,North America,-,VIII,1960,18-Feb,28-Feb,Winter,59.3293235,18.0685808
Rome,Italy,Europe,XVII,-,1960,25-Aug,11-Sep,Summer,41.9027835,12.4963655
Innsbruck,Austria,Europe,-,IX,1964,29-Jan,9-Feb,Winter,47.2692124,11.4041024
Tokyo,Japan,Asia,XVIII,-,1964,10-Oct,24-Oct,Summer,35.6894875,139.6917064
Grenoble,France,Europe,-,X,1968,6-Feb,18-Feb,Winter,45.188529,5.724524
Mexico City,Mexico,North America,XIX,-,1968,12-Oct,27-Oct,Summer,19.4326077,-99.133208
Sapporo,Japan,Asia,-,XI,1972,3-Feb,13-Feb,Winter,43.0620958,141.3543763
Munich,West Germany,Europe,XX,-,1972,26-Aug,11-Sep,Summer,48.1351253,11.5819805
Innsbruck,Austria,Europe,-,XII,1976,4-Feb,15-Feb,Winter,47.2692124,11.4041024
Montreal,Canada,North America,XXI,-,1976,17-Jul,1-Aug,Summer,45.5016889,-73.567256
Lake Placid,United States,North America,-,XIII,1980,12-Feb,24-Feb,Winter,44.2794911,-73.9798713
Moscow,Soviet Union,Europe,XXII,-,1980,19-Jul,3-Aug,Summer,55.755826,37.6172999
Sarajevo,Yugoslavia,Europe,-,XIV,1984,7-Feb,19-Feb,Winter,43.8562586,18.4130763
Los Angeles,United States,North America,XXIII,-,1984,28-Jul,12-Aug,Summer,34.0522342,-118.2436849
Calgary,Canada,North America,-,XV,1988,13-Feb,28-Feb,Winter,51.0486151,-114.0708459
Seoul,South Korea,Asia,XXIV,-,1988,17-Sep,2-Oct,Summer,37.566535,126.9779692
Albertville,France,Europe,-,XVI,1992,8-Feb,23-Feb,Winter,45.2312337,-93.6687657
Barcelona,Spain,Europe,XXV,-,1992,25-Jul,9-Aug,Summer,41.3850639,2.1734035
Lillehammer,Norway,Europe,-,XVII,1994,12-Feb,27-Feb,Winter,61.1152713,10.4662306
Atlanta,United States,North America,XXVI,-,1996,19-Jul,4-Aug,Summer,33.7489954,-84.3879824
Nagano,Japan,Asia,-,XVIII,1998,7-Feb,22-Feb,Winter,36.6485829,138.1947709
Sydney,Australia,Oceania,XXVII,-,2000,15-Sep,1-Oct,Summer,-33.8688197,151.2092955
Salt Lake City,United States,North America,-,XIX,2002,8-Feb,24-Feb,Winter,40.76078,-111.891045
Athens,Greece,Europe,XXVIII,-,2004,13-Aug,29-Aug,Summer,37.9838096,23.7275388
Turin,Italy,Europe,-,XX,2006,10-Feb,26-Feb,Winter,45.070339,7.686864
Beijing,China,Asia,XXIX,-,2008,8-Aug,24-Aug,Summer,39.904202,116.407394
Vancouver,Canada,North America,-,XXI,2010,12-Feb,28-Feb,Winter,49.28273,-123.120735
London,United Kingdom,Europe,XXX,-,2012,27-Jul,12-Aug,Summer,51.5073509,-0.1277583
Sochi,Russia,Europe,-,XXII,2014,7-Feb,23-Feb,Winter,43.584469,39.72028
Rio de Janeiro,Brazil,South America,XXXI,-,2016,5-Aug,21-Aug,Summer,-22.906847,-43.172897
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,